turn;49;0.0%
rushed;49;0.0%
spite;49;0.0%
clock;49;0.0%
person;49;0.0%
town;49;0.0%
dmitri;49;0.0%
name;49;0.0%
angry;49;0.0%
beside;49;0.0%
begin;49;0.0%
href;49;0.0%
hardly;48;0.0%
laughed;48;0.0%
id;48;0.0%
steps;48;0.0%
between;48;0.0%
seeing;48;0.0%
terrible;48;0.0%
family;48;0.0%
quickly;47;0.0%
wait;47;0.0%
object;47;0.0%
mad;47;0.0%
met;47;0.0%
air;47;0.0%
dead;47;0.0%
sank;46;0.0%
instant;46;0.0%
wall;46;0.0%
notice;46;0.0%
different;46;0.0%
silent;46;0.0%
remembered;46;0.0%
couldn;46;0.0%
story;46;0.0%
hair;46;0.0%
clothes;46;0.0%
able;45;0.0%
rest;45;0.0%
however;45;0.0%
sick;45;0.0%
cold;45;0.0%
excuse;45;0.0%
truth;45;0.0%
living;45;0.0%
behind;45;0.0%
polenka;45;0.0%
student;44;0.0%
held;44;0.0%
paper;44;0.0%
isn;44;0.0%
stupid;44;0.0%
somewhere;44;0.0%
broke;44;0.0%
friend;44;0.0%
stay;43;0.0%
gentleman;43;0.0%
gazed;43;0.0%
dare;43;0.0%
terror;43;0.0%
future;43;0.0%
use;42;0.0%
special;42;0.0%
called;42;0.0%
fool;42;0.0%
killed;42;0.0%
illness;42;0.0%
dressed;42;0.0%
others;42;0.0%
husband;42;0.0%
pass;42;0.0%
wouldn;42;0.0%
wrong;42;0.0%
scarcely;42;0.0%
coat;42;0.0%
marmeladov;41;0.0%
whispered;41;0.0%
often;41;0.0%
become;41;0.0%
clearly;41;0.0%
either;41;0.0%
allow;41;0.0%
women;40;0.0%
step;40;0.0%
evidence;40;0.0%
completely;40;0.0%
doctor;40;0.0%
account;40;0.0%
instance;40;0.0%
kind;40;0.0%
towards;40;0.0%
surprise;39;0.0%
interest;39;0.0%
talked;39;0.0%
seem;39;0.0%
lodging;39;0.0%
lady;39;0.0%
despair;39;0.0%
cough;39;0.0%
close;39;0.0%
broken;39;0.0%
rooms;39;0.0%
world;39;0.0%
haven;39;0.0%
intently;39;0.0%
followed;39;0.0%
uneasy;39;0.0%
care;39;0.0%
six;39;0.0%
seven;38;0.0%
particularly;38;0.0%
ashamed;38;0.0%
trembling;38;0.0%
suffering;38;0.0%
drew;38;0.0%
suppose;38;0.0%
pay;38;0.0%
hold;38;0.0%
tavern;38;0.0%
laugh;37;0.0%
glass;37;0.0%
third;37;0.0%
year;37;0.0%
white;37;0.0%
hat;37;0.0%
beginning;37;0.0%
reached;37;0.0%
dinner;37;0.0%
meant;37;0.0%
past;37;0.0%
ideas;37;0.0%
laughter;37;0.0%
moved;37;0.0%
also;37;0.0%
sake;36;0.0%
cut;36;0.0%
seems;36;0.0%
arms;36;0.0%
floor;36;0.0%
decided;36;0.0%
service;36;0.0%
copecks;36;0.0%
explain;36;0.0%
pulled;36;0.0%
red;36;0.0%
boy;36;0.0%
carefully;35;0.0%
near;35;0.0%
attention;35;0.0%
anyway;35;0.0%
wasn;35;0.0%
article;35;0.0%
positively;35;0.0%
fixed;35;0.0%
smiled;35;0.0%
character;35;0.0%
trouble;35;0.0%
shaking;35;0.0%
latter;35;0.0%
several;35;0.0%
caught;34;0.0%
watch;34;0.0%
forgotten;34;0.0%
known;34;0.0%
stand;34;0.0%
addressing;34;0.0%
eh;34;0.0%
listened;34;0.0%
honour;34;0.0%
listening;34;0.0%
rouble;34;0.0%
lie;34;0.0%
asleep;34;0.0%
prison;34;0.0%
escape;34;0.0%
bad;34;0.0%
telling;33;0.0%
probably;33;0.0%
subject;33;0.0%
murderer;33;0.0%
purpose;33;0.0%
showed;33;0.0%
worth;33;0.0%
raised;33;0.0%
fancied;33;0.0%
ilya;33;0.0%
spoke;33;0.0%
month;33;0.0%
interrupted;33;0.0%
breath;33;0.0%
among;33;0.0%
sleep;33;0.0%
months;33;0.0%
slowly;33;0.0%
consider;33;0.0%
hope;33;0.0%
funeral;33;0.0%
cannot;33;0.0%
cap;33;0.0%
staircase;32;0.0%
became;32;0.0%
says;32;0.0%
awful;32;0.0%
running;32;0.0%
drunken;32;0.0%
black;32;0.0%
visit;32;0.0%
reading;32;0.0%
dress;32;0.0%
real;32;0.0%
surprised;32;0.0%
thirty;32;0.0%
middle;32;0.0%
maybe;32;0.0%
ladies;32;0.0%
visitor;32;0.0%
asking;32;0.0%
heavens;32;0.0%
hurry;32;0.0%
soul;32;0.0%
forgive;32;0.0%
stone;32;0.0%
remained;31;0.0%
expression;31;0.0%
walking;31;0.0%
hurriedly;31;0.0%
rags;31;0.0%
died;31;0.0%
hm;31;0.0%
laid;31;0.0%
happy;31;0.0%
respect;31;0.0%
sight;31;0.0%
chest;31;0.0%
exactly;31;0.0%
delirium;31;0.0%
imagine;31;0.0%
facts;31;0.0%
crying;31;0.0%
big;31;0.0%
nature;31;0.0%
flung;31;0.0%
marriage;31;0.0%
empty;30;0.0%
assure;30;0.0%
drinking;30;0.0%
further;30;0.0%
admit;30;0.0%
immediately;30;0.0%
four;30;0.0%
doorway;30;0.0%
thin;30;0.0%
beat;30;0.0%
bear;30;0.0%
meet;30;0.0%
questions;30;0.0%
high;30;0.0%
suspicion;30;0.0%
understood;30;0.0%
aloud;30;0.0%
complete;30;0.0%
desire;30;0.0%
general;30;0.0%
ach;30;0.0%
strength;30;0.0%
anxious;30;0.0%
begun;30;0.0%
order;29;0.0%
fever;29;0.0%
stared;29;0.0%
somehow;29;0.0%
started;29;0.0%
write;29;0.0%
directly;29;0.0%
cross;29;0.0%
law;29;0.0%
perfectly;29;0.0%
above;29;0.0%
received;29;0.0%
paces;29;0.0%
nor;29;0.0%
confess;29;0.0%
meeting;29;0.0%
except;29;0.0%
call;29;0.0%
delirious;29;0.0%
beg;29;0.0%
convinced;29;0.0%
top;28;0.0%
try;28;0.0%
forward;28;0.0%
opinion;28;0.0%
sensation;28;0.0%
keeping;28;0.0%
dream;28;0.0%
send;28;0.0%
station;28;0.0%
walk;28;0.0%
putting;28;0.0%
appearance;28;0.0%
anxiety;28;0.0%
society;28;0.0%
lodgings;28;0.0%
fear;28;0.0%
wide;28;0.0%
policeman;28;0.0%
apparently;28;0.0%
happen;28;0.0%
succeeded;28;0.0%
serious;27;0.0%
cry;27;0.0%
themselves;27;0.0%
secret;27;0.0%
likely;27;0.0%
german;27;0.0%
beating;27;0.0%
twice;27;0.0%
blame;27;0.0%
although;27;0.0%
free;27;0.0%
feet;27;0.0%
moving;27;0.0%
tone;27;0.0%
nearly;27;0.0%
market;27;0.0%
explanation;27;0.0%
yellow;27;0.0%
extraordinary;27;0.0%
sorry;27;0.0%
yard;27;0.0%
kill;27;0.0%
explained;27;0.0%
obviously;27;0.0%
bit;27;0.0%
horror;26;0.0%
hay;26;0.0%
dropped;26;0.0%
best;26;0.0%
candle;26;0.0%
weak;26;0.0%
thank;26;0.0%
legal;26;0.0%
sense;26;0.0%
ground;26;0.0%
cause;26;0.0%
continually;26;0.0%
covered;26;0.0%
chance;26;0.0%
gloomy;25;0.0%
expected;25;0.0%
excited;25;0.0%
contrary;25;0.0%
locked;25;0.0%
bridge;25;0.0%
changed;25;0.0%
power;25;0.0%
bell;25;0.0%
eight;25;0.0%
friends;25;0.0%
softly;25;0.0%
worry;25;0.0%
important;25;0.0%
somewhat;25;0.0%
interesting;25;0.0%
ones;25;0.0%
passage;25;0.0%
less;25;0.0%
glance;25;0.0%
knowing;25;0.0%
doesn;25;0.0%
frenzy;25;0.0%
catch;25;0.0%
feelings;25;0.0%
within;25;0.0%
strong;25;0.0%
hang;24;0.0%
weeping;24;0.0%
hard;24;0.0%
die;24;0.0%
murdered;24;0.0%
linen;24;0.0%
entrance;24;0.0%
appeared;24;0.0%
semyonovitch;24;0.0%
criminal;24;0.0%
fomitch;24;0.0%
leaving;24;0.0%
capital;24;0.0%
unable;24;0.0%
mine;24;0.0%
dirty;24;0.0%
mistake;24;0.0%
country;24;0.0%
presence;24;0.0%
nikodim;24;0.0%
evident;24;0.0%
beforehand;24;0.0%
sorts;24;0.0%
prokofitch;24;0.0%
deep;24;0.0%
bound;24;0.0%
makes;24;0.0%
aware;24;0.0%
kitchen;23;0.0%
waited;23;0.0%
conviction;23;0.0%
timidly;23;0.0%
pavement;23;0.0%
invited;23;0.0%
spent;23;0.0%
declared;23;0.0%
piece;23;0.0%
continued;23;0.0%
sound;23;0.0%
small;23;0.0%
difficult;23;0.0%
fifteen;23;0.0%
nervous;23;0.0%
married;23;0.0%
